Potential Misspelling,Original Text
ingame,It sounded like music that plays in a video game when you stop to browse through the in-game shop for new items. It reminded me of the mall map in Mario Party Jamboree.
nt,It sounds like a song that might be playing from a small jukebox in the corner of a dark bar where there aren't too many people. I could imagine myself sitting in a booth enjoying a drink.
intro,"I imagined this type of music to be played as an intro to a TV show, specifically a family-themed one. Maybe from the early 2000's."
tv,"I imagined this type of music to be played as an intro to a TV show, specifically a family-themed one. Maybe from the early 2000's."
familythemed,"I imagined this type of music to be played as an intro to a TV show, specifically a family-themed one. Maybe from the early 2000's."
2000,"I imagined this type of music to be played as an intro to a TV show, specifically a family-themed one. Maybe from the early 2000's."
edc,There was a crowd and it was at a festival. It was night time and there were laser lights pointing in all directions. It was very colorful and reminiscent of what EDC looks like in my head.
60s,"It reminded me of an animated cartoon jazz band. I was picturing like crocodiles and elephants playing the instruments with top hats, ties, and sunglasses on. They were swaying to the sound of the music. It was an older stylized cartoon of like 60s animation."
bakugan,"My first thoughts were it sounded like an American anime style cartoon (Bakugan), but then it shifted into a Guitar Hero picture. It sounded very clear and like someone was hitting the notes perfectly."
vibing,I was really vibing with the first bit and it reminded me of an Indie movie where someone is riding a bus and looking out of the window but they dont quite have the rights to music so it is copyright free. Then it started to almost sound like dubstep and that vision switched to someone making music for the first time and just adding things in that might sound good.
dont,I was really vibing with the first bit and it reminded me of an Indie movie where someone is riding a bus and looking out of the window but they dont quite have the rights to music so it is copyright free. Then it started to almost sound like dubstep and that vision switched to someone making music for the first time and just adding things in that might sound good.
dubstep,I was really vibing with the first bit and it reminded me of an Indie movie where someone is riding a bus and looking out of the window but they dont quite have the rights to music so it is copyright free. Then it started to almost sound like dubstep and that vision switched to someone making music for the first time and just adding things in that might sound good.
nt,"It gave me the same anxiety coconut mall from mario kart gives me. It started stressing me out the longer I listened to it, but I can't put my finger directly on why."
spewn,It's black and white. A detective is sitting at the bar smoking. They are panning around in an opening title sequence. He has case files spewn about in front of him. He's a regular. A glass of whiskey (neat) sweats next to him as he looks over the crowd.
